image,gt_caption,
f_f_skateboard_128699_3.jpg,A man makes a jump on his skateboard before a crowd.,A woman makes a jump on her skateboard.
f_f_skateboard_128699_4.jpg,A man that has a skateboard in the air.,A woman that has a skateboard in the air.
f_f_skateboard_128699_4.jpg,A MAN IS JUMPING ON HIS SKATE BOARD IN THE SKY ,A woman is jumping on her skate board in the sky.
f_f_skateboard_128699_4.jpg,A boy jumping on a brick patterned ramp on his skateboard. ,A woman jumping on her skateboard.
f_f_skateboard_128699_4.jpg,A photo of a man doing a trick on his skateboard.,A photo of a woman doing a trick on her skateboard.
f_f_skateboard_128699_4.jpg,A man makes a jump on his skateboard before a crowd.,A woman makes a jump on her skateboard.
f_f_skateboard_128699_5.jpg,A man that has a skateboard in the air.,A girl that has a skateboard in the air.
f_f_skateboard_128699_5.jpg,A MAN IS JUMPING ON HIS SKATE BOARD IN THE SKY ,A girl is jumping on her skate board in the air.
f_f_skateboard_128699_5.jpg,A boy jumping on a brick patterned ramp on his skateboard. ,A girl jumping on a ramp on her skateboard.
f_f_skateboard_128699_5.jpg,A photo of a man doing a trick on his skateboard.,A photo of a girl doing a trick on her skateboard.
f_f_skateboard_128699_5.jpg,A man makes a jump on his skateboard before a crowd.,A girl makes a jump on her skateboard.
f_f_skateboard_13201_1.jpg,"A young man with long hair, wearing all black, doing stunts on a skateboard.","A young woman with long hair, wearing a black shirt, doing stunts on a skateboard."
f_f_skateboard_13201_1.jpg,The skate boarder is doing a jumping trick.,The skate boarder is doing a jumping trick.
f_f_skateboard_13201_1.jpg,A skateboarder careening off concrete in a park,A skateboarder careening off a ramp.
f_f_skateboard_13201_1.jpg,A man is grinding a ramp on a skateboard,A woman is jumping off a ramp on a skateboard.
f_f_skateboard_13201_1.jpg,A man is airborne on a skateboard pointing to the sky behind him.,A woman is jumping off a ramp on a skateboard and point to the sky above her.
f_f_skateboard_13201_2.jpg,"A young man with long hair, wearing all black, doing stunts on a skateboard.",A woman wearing a black shirt and jeans doing stunts on a skateboard.
f_f_skateboard_13201_2.jpg,The skate boarder is doing a jumping trick.,The skate boarder is doing a jumping trick.
f_f_skateboard_13201_2.jpg,A skateboarder careening off concrete in a park,A skateboarder careening off a ramp.
f_f_skateboard_13201_2.jpg,A man is grinding a ramp on a skateboard,A woman is jumping off a ramp on a skateboard.
f_f_skateboard_13201_2.jpg,A man is airborne on a skateboard pointing to the sky behind him.,A woman is jumping off a ramp on a skateboard.
f_f_skateboard_13201_3.jpg,"A young man with long hair, wearing all black, doing stunts on a skateboard.",A woman wearing a teal shirt doing stunts on a skateboard.
f_f_skateboard_13201_3.jpg,The skate boarder is doing a jumping trick.,The skate boarder is doing a jumping trick.
f_f_skateboard_13201_3.jpg,A skateboarder careening off concrete in a park,A skateboarder careening off a concrete ramp.
f_f_skateboard_13201_3.jpg,A man is grinding a ramp on a skateboard,A woman is on the edge of a ramp on a skateboard.
f_f_skateboard_13201_3.jpg,A man is airborne on a skateboard pointing to the sky behind him.,A woman is on the edge of a ramp on a skateboard.
f_f_skateboard_13201_5.jpg,"A young man with long hair, wearing all black, doing stunts on a skateboard.","A young girl with long hair, wearing black, doing stunts on a skateboard."
f_f_skateboard_13201_5.jpg,The skate boarder is doing a jumping trick.,The skate boarder is doing a jumping trick.
f_f_skateboard_13201_5.jpg,A skateboarder careening off concrete in a park,A skateboarder careening off concrete in a park.
f_f_skateboard_13201_5.jpg,A man is grinding a ramp on a skateboard,A girl is on the edge of a ramp on a skateboard.
f_f_skateboard_13201_5.jpg,A man is airborne on a skateboard pointing to the sky behind him.,"A girl is on a ramp, holding the edge of her skateboard."
f_f_skateboard_157365_1.jpg,There is no image here to provide a caption for.,
f_f_skateboard_157365_1.jpg,A guy rides his skate board on the city sidewalks.,A woman rides her skate board in the city.
f_f_skateboard_157365_1.jpg,a person skateboarding down the road at night,A person skateboarding down the road.
f_f_skateboard_157365_1.jpg,there is a man wearing a plad shirt riding a skateboard,There is a woman wearing red and white riding a skateboard.
f_f_skateboard_157365_1.jpg,A man riding a skateboard down a sidewalk.,A woman riding a skateboard down a road.
f_f_skateboard_157365_2.jpg,There is no image here to provide a caption for.,
f_f_skateboard_157365_2.jpg,A guy rides his skate board on the city sidewalks.,A woman rides her skate board.
f_f_skateboard_157365_2.jpg,a person skateboarding down the road at night,A person skateboarding.
f_f_skateboard_157365_2.jpg,there is a man wearing a plad shirt riding a skateboard,There is a woman wearing a black jacket riding a skateboard.
f_f_skateboard_157365_2.jpg,A man riding a skateboard down a sidewalk.,A woman riding a skateboard.
f_f_skateboard_157365_4.jpg,There is no image here to provide a caption for.,
f_f_skateboard_157365_4.jpg,A guy rides his skate board on the city sidewalks.,A woman rides her skate board on the blue path.
f_f_skateboard_157365_4.jpg,a person skateboarding down the road at night,A person skateboarding down the road.
f_f_skateboard_157365_4.jpg,there is a man wearing a plad shirt riding a skateboard,There is a woman wearing a jacket riding a skateboard.
f_f_skateboard_157365_4.jpg,A man riding a skateboard down a sidewalk.,A woman riding a skateboard down a road.
f_f_skateboard_157365_5.jpg,There is no image here to provide a caption for.,
f_f_skateboard_157365_5.jpg,A guy rides his skate board on the city sidewalks.,A girl rides her skate board.
f_f_skateboard_157365_5.jpg,a person skateboarding down the road at night,A person skateboarding.
f_f_skateboard_157365_5.jpg,there is a man wearing a plad shirt riding a skateboard,There is a girl wearing a black shirt riding a skateboard.
f_f_skateboard_157365_5.jpg,A man riding a skateboard down a sidewalk.,A girl riding a skateboard.
f_f_skateboard_31093_1.jpg,A skateboarder is on top of a cement bowl.,A skateboarder is on top of a cement bowl.
f_f_skateboard_31093_1.jpg,A man on a skateboard is doing a trick.,A woman on a skateboard is doing a trick.
f_f_skateboard_31093_1.jpg,A male skateboarder is trying to pull off a trick on the ramp. ,A female skateboarder is trying to pull off a trick on the ramp.
f_f_skateboard_31093_1.jpg,a man doing a skateboard trick on top of pool ,A woman doing a skateboard trick on top of a ramp.
f_f_skateboard_31093_1.jpg,A man on a skateboard wearing a helmet and safety pads while riding in an empty swimming pool.,A woman on a skateboard riding in an empty cement bowl.
f_f_skateboard_31093_2.jpg,A skateboarder is on top of a cement bowl.,A skateboarder is on top of a cement bowl.
f_f_skateboard_31093_2.jpg,A man on a skateboard is doing a trick.,A woman on a skateboard is doing a trick.
f_f_skateboard_31093_2.jpg,A male skateboarder is trying to pull off a trick on the ramp. ,A female skateboarder is trying to pull off a trick on the ramp.
f_f_skateboard_31093_2.jpg,a man doing a skateboard trick on top of pool ,A woman doing a skateboard trick on top of a ramp.
f_f_skateboard_31093_2.jpg,A man on a skateboard wearing a helmet and safety pads while riding in an empty swimming pool.,A woman on a skateboard riding in an empty cement bowl.
f_f_skateboard_31093_3.jpg,A skateboarder is on top of a cement bowl.,A skateboarder is on top of a cement bowl.
f_f_skateboard_31093_3.jpg,A man on a skateboard is doing a trick.,A woman on a skateboard is doing a trick.
f_f_skateboard_31093_3.jpg,A male skateboarder is trying to pull off a trick on the ramp. ,A female skateboarder is trying to pull off a trick on the ramp.
f_f_skateboard_31093_3.jpg,a man doing a skateboard trick on top of pool ,A woman doing a skateboard trick on top of a ramp.
f_f_skateboard_31093_3.jpg,A man on a skateboard wearing a helmet and safety pads while riding in an empty swimming pool.,A woman on a skateboard riding in an empty cement bowl.
f_f_skateboard_31093_4.jpg,A skateboarder is on top of a cement bowl.,A skateboarder is on top of a cement bowl.
f_f_skateboard_31093_4.jpg,A man on a skateboard is doing a trick.,A girl on a skateboard is doing a trick.
f_f_skateboard_31093_4.jpg,A male skateboarder is trying to pull off a trick on the ramp. ,A female skateboarder is trying to pull off a trick on the ramp.
f_f_skateboard_31093_4.jpg,a man doing a skateboard trick on top of pool ,A girl doing a skateboard trick on top of a ramp.
f_f_skateboard_31093_4.jpg,A man on a skateboard wearing a helmet and safety pads while riding in an empty swimming pool.,A girl on a skateboard wearing a helmet and safety pads while riding in an empty cement bowl. 
f_f_skateboard_72281_1.jpg,The young man in the cap jumps up on a skateboard.,The young woman in the hat jumps up on a skateboard.
f_f_skateboard_72281_1.jpg,A man on a skateboard with a hat. ,A woman on a skateboard with a hat.
f_f_skateboard_72281_1.jpg,A skateboarder jumping over an obstacle on his board.,A skateboarder jumping on her board.
f_f_skateboard_72281_1.jpg,A guy on a skate board high in the air.,A woman on a skate board in the air.
f_f_skateboard_72281_1.jpg,A man that is in the air with a surfboard.,A woman that is in the air with a skateboard.
f_f_skateboard_72281_2.jpg,The young man in the cap jumps up on a skateboard.,The young woman in the beanie jumps up on a skateboard.
f_f_skateboard_72281_2.jpg,A man on a skateboard with a hat. ,A woman on a skateboard with a hat.
f_f_skateboard_72281_2.jpg,A skateboarder jumping over an obstacle on his board.,A skateboarder jumping off a ramp on her board.
f_f_skateboard_72281_2.jpg,A guy on a skate board high in the air.,A woman on a skate board in the air.
f_f_skateboard_72281_2.jpg,A man that is in the air with a surfboard.,A woman that is in the air with a skateboard.
f_f_skateboard_72281_3.jpg,The young man in the cap jumps up on a skateboard.,The young woman jumps up on a skateboard.
f_f_skateboard_72281_3.jpg,A man on a skateboard with a hat. ,A woman on a skateboard.
f_f_skateboard_72281_3.jpg,A skateboarder jumping over an obstacle on his board.,A skateboarder landing on her board.
f_f_skateboard_72281_3.jpg,A guy on a skate board high in the air.,A woman on a skate board.
f_f_skateboard_72281_3.jpg,A man that is in the air with a surfboard.,A woman that is on a skateboard.
f_f_skateboard_72281_4.jpg,The young man in the cap jumps up on a skateboard.,The young woman turns on a skateboard.
f_f_skateboard_72281_4.jpg,A man on a skateboard with a hat. ,A woman on a skateboard.
f_f_skateboard_72281_4.jpg,A skateboarder jumping over an obstacle on his board.,A skateboarder turning on her board.
f_f_skateboard_72281_4.jpg,A guy on a skate board high in the air.,A woman on a skate board.
f_f_skateboard_72281_4.jpg,A man that is in the air with a surfboard.,A woman that is turning on a skateboard.
f_f_skateboard_72281_5.jpg,The young man in the cap jumps up on a skateboard.,The young woman rides a skateboard.
f_f_skateboard_72281_5.jpg,A man on a skateboard with a hat. ,A woman on a skateboard.
f_f_skateboard_72281_5.jpg,A skateboarder jumping over an obstacle on his board.,A skateboarder riding down a ramp on her board.
f_f_skateboard_72281_5.jpg,A guy on a skate board high in the air.,A woman on a skate board.
f_f_skateboard_72281_5.jpg,A man that is in the air with a surfboard.,A woman that is on a ramp with a skateboard.
f_f_sports_135604_1.jpg,A young man about to kick a soccer ball on a green field,A young woman about to kick a soccer ball on a green field.
f_f_sports_135604_1.jpg,a young boy is playing soccer on a field ,A young woman is playing soccer on a field.
f_f_sports_135604_1.jpg,a man on a soccer field dressed in a soccer uniform kicking a soccer ball,A woman on a soccer field dressed in a soccer uniform kicking a soccer ball
f_f_sports_135604_1.jpg,A soccer player is about to kick a soccer ball,A soccer player is about to kick a soccer ball
f_f_sports_135604_1.jpg,A man playing soccer on a soccer field,A woman playing soccer on a soccer field.
f_f_sports_135604_2.jpg,A young man about to kick a soccer ball on a green field,A woman about to kick a soccer ball on a green field.
f_f_sports_135604_2.jpg,a young boy is playing soccer on a field ,A woman is playing soccer on a field.
f_f_sports_135604_2.jpg,a man on a soccer field dressed in a soccer uniform kicking a soccer ball,A woman on a soccer field dressed in a soccer uniform kicking a soccer ball
f_f_sports_135604_2.jpg,A soccer player is about to kick a soccer ball,A soccer player is about to kick a soccer ball
f_f_sports_135604_2.jpg,A man playing soccer on a soccer field,A woman playing soccer on a soccer field.
f_f_sports_135604_3.jpg,A young man about to kick a soccer ball on a green field,A young woman about to kick a soccer ball on a green field.
f_f_sports_135604_3.jpg,a young boy is playing soccer on a field ,A young woman is playing soccer on a field.
f_f_sports_135604_3.jpg,a man on a soccer field dressed in a soccer uniform kicking a soccer ball,A woman on a soccer field dressed in a soccer uniform kicking a soccer ball
f_f_sports_135604_3.jpg,A soccer player is about to kick a soccer ball,A soccer player is about to kick a soccer ball
f_f_sports_135604_3.jpg,A man playing soccer on a soccer field,A woman playing soccer on a soccer field.
f_f_sports_135604_5.jpg,A young man about to kick a soccer ball on a green field,A woman about to kick a soccer ball on a green field.
f_f_sports_135604_5.jpg,a young boy is playing soccer on a field ,A woman is playing soccer on a field.
f_f_sports_135604_5.jpg,a man on a soccer field dressed in a soccer uniform kicking a soccer ball,A woman on a soccer field dressed in a soccer uniform kicking a soccer ball
f_f_sports_135604_5.jpg,A soccer player is about to kick a soccer ball,A soccer player is about to kick a soccer ball
f_f_sports_135604_5.jpg,A man playing soccer on a soccer field,A woman playing soccer on a soccer field.
f_f_sports_192670_1.jpg,A little league baseball player hits a ball.,A baseball player hits a ball.
f_f_sports_192670_1.jpg,A young boys is hitting a baseball while another young boy is playing catcher.,A woman is hitting a baseball while another woman is playing catcher.
f_f_sports_192670_1.jpg,"A male child swinging his bat at a ball, another child behind him as the catcher. ","A female swinging her bat at a ball, another female behind her as the catcher."
f_f_sports_192670_1.jpg,A boy swinging a bat with a catcher in place behind the batter.,A woman swinging a bat with a catcher in place behind the batter.
f_f_sports_192670_1.jpg,A player swings at a baseball while the catcher is ready to catch the ball.,A player swings at a baseball while the catcher is ready to catch the ball.
f_f_sports_192670_2.jpg,A little league baseball player hits a ball.,A baseball player hits a ball.
f_f_sports_192670_2.jpg,A young boys is hitting a baseball while another young boy is playing catcher.,A woman is hitting a baseball while another woman is playing catcher.
f_f_sports_192670_2.jpg,"A male child swinging his bat at a ball, another child behind him as the catcher. ","A female swinging her bat at a ball, another female behind her as the catcher."
f_f_sports_192670_2.jpg,A boy swinging a bat with a catcher in place behind the batter.,A woman swinging a bat with a catcher in place behind the batter.
f_f_sports_192670_2.jpg,A player swings at a baseball while the catcher is ready to catch the ball.,A player swings at a baseball while the catcher is ready to catch the ball.
f_f_sports_192670_3.jpg,A little league baseball player hits a ball.,A baseball player hits a ball.
f_f_sports_192670_3.jpg,A young boys is hitting a baseball while another young boy is playing catcher.,A woman is hitting a baseball while another woman is playing catcher.
f_f_sports_192670_3.jpg,"A male child swinging his bat at a ball, another child behind him as the catcher. ","A female swinging her bat at a ball, another female behind her as the catcher."
f_f_sports_192670_3.jpg,A boy swinging a bat with a catcher in place behind the batter.,A woman swinging a bat with a catcher in place behind the batter.
f_f_sports_192670_3.jpg,A player swings at a baseball while the catcher is ready to catch the ball.,A player swings at a baseball while the catcher is ready to catch the ball.
f_f_sports_192670_4.jpg,A little league baseball player hits a ball.,A baseball player hits a ball.
f_f_sports_192670_4.jpg,A young boys is hitting a baseball while another young boy is playing catcher.,A woman is hitting a baseball while another woman is playing catcher.
f_f_sports_192670_4.jpg,"A male child swinging his bat at a ball, another child behind him as the catcher. ","A female swinging her bat at a ball, another female behind her as the catcher."
f_f_sports_192670_4.jpg,A boy swinging a bat with a catcher in place behind the batter.,A woman swinging a bat with a catcher in place behind the batter.
f_f_sports_192670_4.jpg,A player swings at a baseball while the catcher is ready to catch the ball.,A player swings at a baseball while the catcher is ready to catch the ball.
f_f_sports_192670_5.jpg,A little league baseball player hits a ball.,A baseball player hits a ball.
f_f_sports_192670_5.jpg,A young boys is hitting a baseball while another young boy is playing catcher.,A woman is hitting a baseball while another woman is playing catcher.
f_f_sports_192670_5.jpg,"A male child swinging his bat at a ball, another child behind him as the catcher. ","A female swinging her bat at a ball, another female behind her as the catcher."
f_f_sports_192670_5.jpg,A boy swinging a bat with a catcher in place behind the batter.,A woman swinging a bat with a catcher in place behind the batter.
f_f_sports_192670_5.jpg,A player swings at a baseball while the catcher is ready to catch the ball.,A player swings at a baseball while the catcher is ready to catch the ball.
f_f_sports_33759_1.jpg,A boy swinging a baseball bat at a game.,A woman swinging a bat at a game.
f_f_sports_33759_1.jpg,A young boy swinging a baseball bat at a baseball.,A woman swinging a bat at a softball.
f_f_sports_33759_1.jpg,"A young baseball player stands at the plate, in motion to hit an oncoming ball. ","A softball player standing, in motion to hit an oncoming ball."
f_f_sports_33759_1.jpg,a boy swinging his baseball bat at a baseball,A woman swinging her bat at a softball.
f_f_sports_33759_1.jpg,A little kid swinging a bat in a baseball game.,An adult swinging a bat in a softball game.
f_f_sports_33759_2.jpg,A boy swinging a baseball bat at a game.,A woman preparing to swing a baseball bat at a game.
f_f_sports_33759_2.jpg,A young boy swinging a baseball bat at a baseball.,A woman preparing to swing a baseball bat.
f_f_sports_33759_2.jpg,"A young baseball player stands at the plate, in motion to hit an oncoming ball. ","A baseball player standing, preparing to swing her bat."
f_f_sports_33759_2.jpg,a boy swinging his baseball bat at a baseball,A woman preparing to swing her baseball bat.
f_f_sports_33759_2.jpg,A little kid swinging a bat in a baseball game.,An adult preparing to swing a bat in a baseball game.
f_f_sports_33759_3.jpg,A boy swinging a baseball bat at a game.,A woman swinging a bat at a game.
f_f_sports_33759_3.jpg,A young boy swinging a baseball bat at a baseball.,A woman swinging a bat at a softball.
f_f_sports_33759_3.jpg,"A young baseball player stands at the plate, in motion to hit an oncoming ball. ","A softball player standing, in motion to hit an oncoming ball."
f_f_sports_33759_3.jpg,a boy swinging his baseball bat at a baseball,A woman swinging her bat at a softball.
f_f_sports_33759_3.jpg,A little kid swinging a bat in a baseball game.,An adult swinging a bat in a softball game.
f_f_sports_33759_4.jpg,A boy swinging a baseball bat at a game.,A woman preparing to swing a baseball bat at a game.
f_f_sports_33759_4.jpg,A young boy swinging a baseball bat at a baseball.,A young woman preparing to swing a baseball bat.
f_f_sports_33759_4.jpg,"A young baseball player stands at the plate, in motion to hit an oncoming ball. ","A young baseball player standing, preparing to swing her bat."
f_f_sports_33759_4.jpg,a boy swinging his baseball bat at a baseball,A girl preparing to swing her baseball bat.
f_f_sports_33759_4.jpg,A little kid swinging a bat in a baseball game.,A teenager preparing to swing a bat in a baseball game.
f_f_sports_33759_5.jpg,A boy swinging a baseball bat at a game.,A woman swinging a bat at a game.
f_f_sports_33759_5.jpg,A young boy swinging a baseball bat at a baseball.,A woman swinging a bat at a softball.
f_f_sports_33759_5.jpg,"A young baseball player stands at the plate, in motion to hit an oncoming ball. ","A softball player stands at the plate, in motion to hit an oncoming ball."
f_f_sports_33759_5.jpg,a boy swinging his baseball bat at a baseball,A woman swinging her bat at a softball.
f_f_sports_33759_5.jpg,A little kid swinging a bat in a baseball game.,An adult swinging a bat in a softball game.
f_f_sports_371552_1.jpg,a boy with a green shirt and a black pair of shorts playing soccer,A woman with a white shirt and white pair of shorts playing soccer
f_f_sports_371552_1.jpg,A boy standing by a soccer ball on a field.,A woman standing by a soccer ball on a field.
f_f_sports_371552_1.jpg,Parents watching young boys playing soccer on a green field,A young woman playing soccer on a green field.
f_f_sports_371552_1.jpg,a boy is standing next to a red ball outside,A woman is standing next to a soccer ball outside.
f_f_sports_371552_1.jpg,a young boy on a soccer field standing in front of a ball.,A woman on a soccer field standing in front of a ball.
f_f_sports_371552_2.jpg,a boy with a green shirt and a black pair of shorts playing soccer,A girl with a red shirt and a red pair of shorts playing soccer
f_f_sports_371552_2.jpg,A boy standing by a soccer ball on a field.,A girl standing by a soccer ball on a field.
f_f_sports_371552_2.jpg,Parents watching young boys playing soccer on a green field,A girl playing soccer on a green field.
f_f_sports_371552_2.jpg,a boy is standing next to a red ball outside,A girl is standing next to a soccer ball outside.
f_f_sports_371552_2.jpg,a young boy on a soccer field standing in front of a ball.,A young girl on a soccer field standing in front of a ball.
f_f_sports_371552_3.jpg,a boy with a green shirt and a black pair of shorts playing soccer,A girl with a black shirt and a black pair of shorts playing soccer
f_f_sports_371552_3.jpg,A boy standing by a soccer ball on a field.,A girl standing by a soccer ball on a field.
f_f_sports_371552_3.jpg,Parents watching young boys playing soccer on a green field,A girl playing soccer on a green field.
f_f_sports_371552_3.jpg,a boy is standing next to a red ball outside,A girl is standing next to a soccer ball outside.
f_f_sports_371552_3.jpg,a young boy on a soccer field standing in front of a ball.,A girl on a soccer field standing in front of a ball.
f_f_sports_371552_5.jpg,a boy with a green shirt and a black pair of shorts playing soccer,A woman with a blue shirt and a pair of blue shorts playing soccer
f_f_sports_371552_5.jpg,A boy standing by a soccer ball on a field.,A woman standing by a soccer ball on a field.
f_f_sports_371552_5.jpg,Parents watching young boys playing soccer on a green field,A woman playing soccer on a green field.
f_f_sports_371552_5.jpg,a boy is standing next to a red ball outside,A woman standing next to a white ball outside.
f_f_sports_371552_5.jpg,a young boy on a soccer field standing in front of a ball.,A woman on a soccer field standing in front of a ball.
f_f_sports_429690_2.jpg,A man hitting a tennis ball with a bat.,A woman swinging a bat.
f_f_sports_429690_2.jpg,A crowd watches a batter try to hit a baseball.,A crowd watches a batter try to hit a baseball.
f_f_sports_429690_2.jpg,A guy playing baseball with people watching from the stands.,A woman playing baseball with people watching from the stands.
f_f_sports_429690_2.jpg,A man is hitting a baseball with a baseball bat.,A woman is swinging a baseball bat.
f_f_sports_429690_2.jpg,People look on as a ball heads towards a batter.,People look on as a batter swings.
f_f_sports_429690_3.jpg,A man hitting a tennis ball with a bat.,A woman hitting a softball with a bat.
f_f_sports_429690_3.jpg,A crowd watches a batter try to hit a baseball.,A batter tries to hit a softball.
f_f_sports_429690_3.jpg,A guy playing baseball with people watching from the stands.,A woman playing softball.
f_f_sports_429690_3.jpg,A man is hitting a baseball with a baseball bat.,A woman is swinging at a softball with a bat.
f_f_sports_429690_3.jpg,People look on as a ball heads towards a batter.,A ball heads towards a batter.
f_f_sports_429690_4.jpg,A man hitting a tennis ball with a bat.,A woman hitting a softball with a bat.
f_f_sports_429690_4.jpg,A crowd watches a batter try to hit a baseball.,A batter tries to hit a softball.
f_f_sports_429690_4.jpg,A guy playing baseball with people watching from the stands.,A woman playing softball.
f_f_sports_429690_4.jpg,A man is hitting a baseball with a baseball bat.,A woman is swinging at a softball with a bat.
f_f_sports_429690_4.jpg,People look on as a ball heads towards a batter.,A ball heads towards a batter.
f_f_sports_429690_5.jpg,A man hitting a tennis ball with a bat.,A woman hitting a softball with a bat.
f_f_sports_429690_5.jpg,A crowd watches a batter try to hit a baseball.,A batter tries to hit a softball.
f_f_sports_429690_5.jpg,A guy playing baseball with people watching from the stands.,A woman playing softball.
f_f_sports_429690_5.jpg,A man is hitting a baseball with a baseball bat.,A woman is swinging at a softball with a bat.
f_f_sports_429690_5.jpg,People look on as a ball heads towards a batter.,A ball heads towards a batter.
f_f_sports_515982_1.jpg,A man sliding into a base next to another baseball player.,A woman sliding into a base to another baseball player.
f_f_sports_515982_1.jpg,"A baseball player sliding into home plate, in a game.","A baseball player sliding into a plate, in a game."
f_f_sports_515982_1.jpg,a  runner sliding into base as the ball gets close,A runner sliding into base as the ball gets close.
f_f_sports_515982_1.jpg,a man is sliding up to a base at a baseball game,A woman is sliding up to a base at a baseball game.
f_f_sports_515982_1.jpg,A man sliding into home plate as another catches a baseball.,A woman sliding into a plate as another catches a baseball.
f_f_sports_515982_3.jpg,A man sliding into a base next to another baseball player.,A woman sliding into a base to another softball player.
f_f_sports_515982_3.jpg,"A baseball player sliding into home plate, in a game.","A softball player sliding into a plate, in a game."
f_f_sports_515982_3.jpg,a  runner sliding into base as the ball gets close,A runner sliding into base as the ball gets close.
f_f_sports_515982_3.jpg,a man is sliding up to a base at a baseball game,A woman is sliding up to a base at a softball game.
f_f_sports_515982_3.jpg,A man sliding into home plate as another catches a baseball.,A woman sliding into a plate as another catches a softball.
f_f_sports_515982_4.jpg,A man sliding into a base next to another baseball player.,A woman sliding into a base to another softball player.
f_f_sports_515982_4.jpg,"A baseball player sliding into home plate, in a game.","A softball player sliding into a plate, in a game."
f_f_sports_515982_4.jpg,a  runner sliding into base as the ball gets close,A runner sliding into base as the ball gets close.
f_f_sports_515982_4.jpg,a man is sliding up to a base at a baseball game,A woman is sliding up to a base at a softball game.
f_f_sports_515982_4.jpg,A man sliding into home plate as another catches a baseball.,A woman sliding into a plate as another catches a softball.
f_f_sports_515982_5.jpg,A man sliding into a base next to another baseball player.,A woman sliding into a base to another baseball player.
f_f_sports_515982_5.jpg,"A baseball player sliding into home plate, in a game.","A baseball player sliding into a plate, in a game."
f_f_sports_515982_5.jpg,a  runner sliding into base as the ball gets close,A runner sliding into base as the ball gets close.
f_f_sports_515982_5.jpg,a man is sliding up to a base at a baseball game,A woman is sliding up to a base at a baseball game.
f_f_sports_515982_5.jpg,A man sliding into home plate as another catches a baseball.,A woman sliding into a plate as another catches a baseball.
f_f_sports_89296_1.jpg,A man holding a baseball bat preparing to swing it,A woman holding a baseball bat preparing to swing it.
f_f_sports_89296_1.jpg,Baseball player in the cage practicing his swings,Baseball player practicing her swings.
f_f_sports_89296_1.jpg,A man in red jacket and shorts in a batting cage.,A woman in a red shirt and white pants preparing to swing.
f_f_sports_89296_1.jpg,A man gets ready to swing at a pitch during batting practice,A woman gets ready to swing at a pitch.
f_f_sports_89296_1.jpg,The baseball player is practicing his swing for his favorite game.,The baseball player is practing her swing for her favorite game.
f_f_sports_89296_2.jpg,A man holding a baseball bat preparing to swing it,A woman holding a baseball bat preparing to swing it.
f_f_sports_89296_2.jpg,Baseball player in the cage practicing his swings,Baseball player practicing her swings.
f_f_sports_89296_2.jpg,A man in red jacket and shorts in a batting cage.,A woman in a white shirt and red pants preparing to swing.
f_f_sports_89296_2.jpg,A man gets ready to swing at a pitch during batting practice,A woman gets ready to swing at a pitch.
f_f_sports_89296_2.jpg,The baseball player is practicing his swing for his favorite game.,The baseball player is practing her swing for her favorite game.
f_f_sports_89296_3.jpg,A man holding a baseball bat preparing to swing it,A woman holding a baseball bat preparing to swing it.
f_f_sports_89296_3.jpg,Baseball player in the cage practicing his swings,Baseball player practicing her swings.
f_f_sports_89296_3.jpg,A man in red jacket and shorts in a batting cage.,A woman in a red shirt and black pants preparing to swing.
f_f_sports_89296_3.jpg,A man gets ready to swing at a pitch during batting practice,A woman gets ready to swing at a pitch.
f_f_sports_89296_3.jpg,The baseball player is practicing his swing for his favorite game.,The baseball player is practing her swing for her favorite game.
f_f_sports_89296_5.jpg,A man holding a baseball bat preparing to swing it,A woman holding a baseball bat preparing to swing it.
f_f_sports_89296_5.jpg,Baseball player in the cage practicing his swings,Baseball player practicing her swings.
f_f_sports_89296_5.jpg,A man in red jacket and shorts in a batting cage.,A woman in a red shirt and black pants preparing to swing.
f_f_sports_89296_5.jpg,A man gets ready to swing at a pitch during batting practice,A woman gets ready to swing at a pitch.
f_f_sports_89296_5.jpg,The baseball player is practicing his swing for his favorite game.,The baseball player is practing her swing for her favorite game.
f_f_surfboard_115898_2.jpg,A man in black wetsuit on white surfboard riding wave.,A woman in a black wetsuit and red life jacket on a surfboard.
f_f_surfboard_115898_2.jpg,A man surfing rocking waves in the water.,A woman wake surfing in the water.
f_f_surfboard_115898_2.jpg,A man is on his surfboard in the water. ,A woman is on her surfboard in the water.
f_f_surfboard_115898_2.jpg,A surfer is on the water and is waiting for a wave. ,A surfer is on the water and holding to a handle.
f_f_surfboard_115898_2.jpg,A man riding a surfboard in the water.,A woman riding a surfboard in the water.
f_f_surfboard_115898_3.jpg,A man in black wetsuit on white surfboard riding wave.,A woman in a blue bikini on a colorful surfboard riding a wave.
f_f_surfboard_115898_3.jpg,A man surfing rocking waves in the water.,A woman surfing waves in the water.
f_f_surfboard_115898_3.jpg,A man is on his surfboard in the water. ,A woman is on her surfboard in the water.
f_f_surfboard_115898_3.jpg,A surfer is on the water and is waiting for a wave. ,A surfer is on the water riding a wave.
f_f_surfboard_115898_3.jpg,A man riding a surfboard in the water.,A woman riding a surfboard in the water.
f_f_surfboard_115898_4.jpg,A man in black wetsuit on white surfboard riding wave.,A woman in a teal bikini on a white surfboard riding a wave.
f_f_surfboard_115898_4.jpg,A man surfing rocking waves in the water.,A woman surfing waves in the water.
f_f_surfboard_115898_4.jpg,A man is on his surfboard in the water. ,A woman is on her surfboard in the water.
f_f_surfboard_115898_4.jpg,A surfer is on the water and is waiting for a wave. ,A surfer is on the water riding a wave.
