image_id,caption,new_caption
133343,A young man wearing a tie and sunglasses is looking away.,a young woman wearing a tie and sunglasses is looking away.
133343,A man in large sunglasses and a lose tie,a woman in large sunglasses and a lose tie
133343,A man in a suite wearing a pair of sunglasses.,a woman in a suite wearing a pair of sunglasses.
420069,A male baseball player is up to bat.,a woman baseball player is up to bat.
157928,"Two men with backpacks on, one of which is fastening skis to a sled.","two women with backpacks on, one of which is fastening skis to a sled."
157928,Two men packing up ski equipment after a day of skiing.,two women packing up ski equipwoment after a day of skiing.
239857,A man holding a neon frisbee in his right hand.,a woman holding a neon frisbee in her right hand.
35062,A little boy asleep under a sunflower print blanket,a little woman asleep under a sunflower print blanket
559348,The first base coach watches as one of his players is up at bat.,the first base coach watches as one of her players is up at bat.
149770,A man riding a wave on top of a surfboard.,a woman riding a wave on top of a surfboard.
149770,The man standing on the surfboard is surfing in the blurry photo. ,the woman standing on the surfboard is surfing in the blurry photo. 
149770,A man in black wetsuit riding surfboard on top of water.,a woman in black wetsuit riding surfboard on top of water.
149770,A man skillfully water skiing in wild water.,a woman skillfully water skiing in wild water.
190753,There is a group of four men sitting on park benches.,there is a group of four women sitting on park benches.
190753,A park scene includes men playing chess at folding tables.,a park scene includes women playing chess at folding tables.
190753,4 men play a game on a park bench.,4 woman play a game on a park bench.
289059,A man standing on a tennis court holding a racquet.,a woman standing on a tennis court holding a racquet.
289059,A man in blue shirt and shorts playing a game of tennis.,a woman in blue shirt and shorts playing a game of tennis.
289059,a man leaning over waiting for a tennis ball to hit ,a woman leaning over waiting for a tennis ball to hit 
190756,A man flying through the air while riding a bike.,a woman flying through the air while riding a bike.
190756,a man in mid air while riding a motor bike,a woman in mid air while riding a motor bike
133418,A man holding a tennis racquet on a tennis court.,a woman holding a tennis racquet on a tennis court.
133418,Happy man standing on a tennis court holding a racket.,happy woman standing on a tennis court holding a racket.
133418,A male tennis player has just finished hitting the ball,a woman tennis player has just finished hitting the ball
133418,A man playing tennis on a red coat in all white.,a woman playing tennis on a red coat in all white.
338219,A man looking at motorcycles in a field.,a woman looking at motorcycles in a field.
338219,A man looks at a motorcycle amongst others in a field.,a woman looks at a motorcycle amongst others in a field.
534827,a group of young men are riding their motocycles down the street,a group of young women are riding their motocycles down the street
534827,five men riding their motor cycles on the street,five women riding their motor cycles on the street
248112,A man playing tennis is getting ready to swing at the ball.,a woman playing tennis is getting ready to swing at the ball.
248112,The man is swinging the tennis racket in the air. ,the woman is swinging the tennis racket in the air. 
411953,A man with a guitar in front of a microphone.,a woman with a guitar in front of a microphone.
411953,a guy plays guitar on the stage center,a woman plays guitar on the stage center
411953,a man is playing a guitar on a stage ,a woman is playing a guitar on a stage 
411953,A young man singing and playing the guitar.,a young woman singing and playing the guitar.
43314,A man flying through the air while riding skis.,a woman flying through the air while riding skis.
43314,A man on ski's that is in the air.,a woman on ski's that is in the air.
280891,A woman standing next to a young man near a pile of fruit.,a woman standing next to a young man near a pile of fruit.
280891,A boy wearing a green shirt posing with some fruit.,a woman wearing a green shirt posing with some fruit.
280891,A young boy with his hands on his face near some fruit.,a young woman with her hands on her face near some fruit.
125257,A man walking across a snowy mountain road.,a woman walking across a snowy mountain road.
125257,A man on a snowboard on a groomed slope.,a woman on a snowboard on a groomed slope.
125257,A snow boarder is going down the slope on his board.,a snow boarder is going down the slope on her board.
493905,A male Tennis player is trying to secure the ball. ,a woman tennis player is trying to secure the ball. 
493905,A man in white shirt and shorts playing a game of tennis.,a woman in white shirt and shorts playing a game of tennis.
493905,A tennis player is in mid air with his racquet.,a tennis player is in mid air with her racquet.
493905,A man jumping up in the air swinging a tennis racket at a ball.,a woman jumping up in the air swinging a tennis racket at a ball.
18770,A man in a suit with a blue tie and vest.,a woman in a suit with a blue tie and vest.
18770,A man is wearing a black suit and a printed tie,a woman is wearing a black suit and a printed tie
18770,A man is wearing a dark jacket and a silk vest and tie.,a woman is wearing a dark jacket and a silk vest and tie.
18770,A man wears a dark suit with a dark tie.,a woman wears a dark suit with a dark tie.
182611,A man making his plate with a table full of food. ,a woman making her plate with a table full of food. 
264535,A man sitting alone on a park bench in a park.,a woman sitting alone on a park bench in a park.
264535,An old man reads a book on a bench. ,an old woman reads a book on a bench. 
264535,An old man sitting on a bench in a public park.,an old woman sitting on a bench in a public park.
264535,An old man reading a book on a park bench.,an old woman reading a book on a park bench.
264535,man sitting on a bench in the park,woman sitting on a bench in the park
567640,A group of men running across a soccer field.,a group of woman running across a soccer field.
567640,The boys are playing soccer and they are running the ball ,the woman are playing soccer and they are running the ball 
567640,A group of young boys playing soccer on s field. ,a group of young woman playing soccer on s field. 
371042,The man playing tennis is reaching up to hit the ball.,the woman playing tennis is reaching up to hit the ball.
510329,A man and woman that are standing next to rocks.,a man and woman that are standing next to rocks.
510329,A couple of men holding a black umbrella.,a couple of woman holding a black umbrella.
510329,Two men on old architecture pull out umbrella and securing their belongings.,two women on old architecture pull out umbrella and securing their belongings.
190841,A man on a skateboard jumps over a ramp.,a woman on a skateboard jumps over a ramp.
190841,A man in black shirt doing a trick on a skateboard.,a woman in black shirt doing a trick on a skateboard.
190841,A man attempts a trick after riding off of a low ramp.,a woman attempts a trick after riding off of a low ramp.
190841,A man attempts a trick after riding off of a low ramp.,a woman attempts a trick after riding off of a low ramp.
35197,A man is standing on a skateboard at a skate park.,a woman is standing on a skateboard at a skate park.
526728,A man and a woman on a sidewalk standing in front of several suitcases. ,a man and a woman on a sidewalk standing in front of several suitcases. 
526728,A man and a woman are standing behind some suitcases.,a man and a woman are standing behind some suitcases.
297353,A man standing on a purple bed playing an electric guitar,a woman standing on a purple bed playing an electric guitar
297353,The man is standing on a bed playing guitar.,the woman is standing on a bed playing guitar.
297353,a man standing on the bed while playing a guitar,a woman standing on the bed while playing a guitar
297353,A guy with a nice guitar standing on a bed.,a woman with a nice guitar standing on a bed.
84362,A young boy walking through a living room towards  a cat.,a young woman walking through a living room towards  a cat.
84362,A young boy playing in a living room with a large window.,a young woman playing in a living room with a large window.
199055,A man on a skateboard is using his phone.,a woman on a skateboard is using woman phone.
199055,A man wearing sunglasses getting ready to ride a skate board.,a woman wearing sunglasses getting ready to ride a skate board.
199055,A man skateboards on a skateboard in a concrete area,a woman skateboards on a skateboard in a concrete area
199055,"A man seems to be disguised as Marty McFly here, from Back to the Future. ","a woman seems to be disguised as marty mcfly here, from back to the future. "
18837,A green utility truck is parked on a street while a man climbs inside.,a green utility truck is parked on a street while a woman climbs inside.
18837,some people sitting on top of a green truck as another man tries to get in it ,some people sitting on top of a green truck as another woman tries to get in it 
18837,a man is sitting on top of a green truck,a woman is sitting on top of a green truck
240023,A tennis player using his shirt to dry his face during a tournament game.,a tennis player using her shirt to dry her face during a tournament game.
240023,A man wiping his brow while bouncing a tennis ball.,a woman wiping her brow while bouncing a tennis ball.
240023,A tennis player dribbling the ball with  his tennis racket while wiping his face with his shirt.,a tennis player dribbling the ball with  her tennis racket while wiping her face with her shirt.
240023,An athlete wiping sweat from his brow with his shirt.,an athlete wiping sweat from her brow with her shirt.
502168,A group of men on aircraft carrier with other boats in the distance.,a group of women on aircraft carrier with other boats in the distance.
502168,Several men on a boat looking over the side.,several women on a boat looking over the side.
502168,The men wear hardhats as they work on the aircraft carrier.,the women wear hardhats as they work on the aircraft carrier.
428454,A man on a snowboard para sailing in the snow.,a woman on a snowboard para sailing in the snow.
428454,A man on a snowboard using a parachute.,a woman on a snowboard using a parachute.
428454,A guy standing on a snowboard in the snow.,a woman standing on a snowboard in the snow.
428454,A man is on a snow board with a kite.,a woman is on a snow board with a kite.
2473,A man flying through the air while riding skis.,a woman flying through the air while riding skis.
43435,Two men ride surfboards through the crashing waves.,two woman ride surfboards through the crashing waves.
420281,A man wearing glasses eating a hot dog.,a woman wearing glasses eating a hot dog.
420281,A man eats a hot dog while looking at the camera.,a woman eats a hot dog while looking at the camera.
420281, A young man with glasses eating a hot dog with bun., a young woman with glasses eating a hot dog with bun.
420281,A man with thick black glasses eats a hotdog.,a woman with thick black glasses eats a hotdog.
420281,A man who is putting a hot dog in his mouth.,a woman who is putting a hot dog in her mouth.
133567,A man standing in front of the Amtrak train.,a woman standing in front of the amtrak train.
379332,A man on a court swinging a tennis racket.,a woman on a court swinging a tennis racket.
379332,A black and white photo of a man playing tennis.,a black and white photo of a woman playing tennis.
379332,Black and white photograph of a man playing tennis,black and white photograph of a woman playing tennis
379332,A man swinging a tennis racket in a t-shirt,a woman swinging a tennis racket in a t-shirt
231879,A woman holding a birthday cake with one candle near a man with a baby in his lap.,a woman holding a birthday cake with one candle near a man with a baby in his lap.
231879,Woman carrying cake near man holding baby at outdoor celebration.,woman carrying cake near man holding baby at outdoor celebration.
281032,A man stirring something in a foil roasting pan.,a woman stirring something in a foil roasting pan.
281032,A man prepares food in a restaurant kitchen.,a woman prepares food in a restaurant kitchen.
281032,A man with his hair tied back prepares food. ,a woman with her hair tied back prepares food. 
35279,"A man laying his head down next to electronics, a butterfly, and a book. ","a woman laying her head down next to electronics, a butterfly, and a book. "
35279,"A man is laying by a racket, laptop, cell phone, and other objects. ","a woman is laying by a racket, laptop, cell phone, and other objects. "
35279,a man lies on the floor next to some gadgets,a woman lies on the floor next to some gadgets
297427,A man holding a cheeseburger made out of donuts.,a woman holding a cheeseburger made out of donuts.
10707,A man standing in a living room holding a Nintendo Wii game controller.,a woman standing in a living room holding a nintendo wii game controller.
10707,A man holding a motion controlled video game controller,a woman holding a motion controlled video game controller
10707,A man playing a video game while two men sit on a couch. ,a woman playing a video game while two women sit on a couch. 
248284,A man and woman who are standing in the snow.,a man and woman who are standing in the snow.
223738,Young man in orange jersey swinging a baseball bat.,young woman in orange jersey swinging a baseball bat.
51712,A man skiing down the side of a snow covered mountain.,a woman skiing down the side of a snow covered mountain.
51712,A man with goggles on snow skiing on a mountain,a woman with goggles on snow skiing on a mountain
51712,a man in a big jacket skiing down a snowy slope ,a woman in a big jacket skiing down a snowy slope 
51712,a man standing on a pair of skis and coming down a snow covered hill,a woman standing on a pair of skis and coming down a snow covered hill
51712,a man in a coat skiing down a hill,a woman in a coat skiing down a hill
223747,a man sleeping with his cat next to him,a woman sleeping with her cat next to him
223747,A young man and his cute cat enjoy a nap together.,a young woman and her cute cat enjoy a nap together.
223747,A man is sleeping with his head on a pillow.,a woman is sleeping with her head on a pillow.
223747,Man sleeping in his bedroom next to a cat.,woman sleeping in her bedroom next to a cat.
10764,A catcher squatting at a base with his gloved hand extended.,a catcher squatting at a base with her gloved hand extended.
84492,Young man skate boarding on railing in urban setting.,young woman skate boarding on railing in urban setting.
84492,A man in white grinding on a skateboard.,a woman in white grinding on a skateboard.
84492,A man performs a trick on a skateboard over a rail.,a woman performs a trick on a skateboard over a rail.
158227,A young boy wearing a baseball uniform holding a baseball bat.,a young woman wearing a baseball uniform holding a baseball bat.
158227,The boy waits to hit the incoming baseball.,the woman waits to hit the incoming baseball.
158227,A young boy in a baseball uniform getting ready to swing at a pitch.,a young woman in a baseball uniform getting ready to swing at a pitch.
125472,A man flying through the air while riding a skateboard.,a woman flying through the air while riding a skateboard.
125472,A man is doing tricks on a skateboard.,a woman is doing tricks on a skateboard.
125472,a man in the air standing above the skateboard,a woman in the air standing above the skateboard
576052,A man with a hat is on a horse by a dry lake.,a woman with a hat is on a horse by a dry lake.
289343,A man is riding a large bike through the park.,a woman is riding a large bike through the park.
289343,A man this is on a high wheel bicycle.,a woman this is on a high wheel bicycle.
199236,"A man riding on a horse, preparing to joust.","a woman riding on a horse, preparing to joust."
199236,A man in an armor riding a horse in front of spectators.,a woman in an armor riding a horse in front of spectators.
346703,A man and woman standing over a dinner table with a cake.,a man and woman standing over a dinner table with a cake.
346703,"A series of images showing a man holding a spoon over a lit candle, then serving a cake with it.","a series of images showing a woman holding a spoon over a lit candle, then serving a cake with it."
346703,The people watch the man with the spoon over the candle. ,the people watch the woman with the spoon over the candle. 
248400,A man opens pizza box and stares at the camera.,a woman opens pizza box and stares at the camera.
248400,A man is pointing at a pizza box with a some words on the inner side.,a woman is pointing at a pizza box with a some words on the inner side.
248400,A boy holding open and gesturing towards a pizza box kid with a message written on it.,a woman holding open and gesturing towards a pizza box kid with a message written on it.
297578,A man walking down a street smoking a cigarette.,a woman walking down a street smoking a cigarette.
297578,a man walking down a street smoking a cigarette,a woman walking down a street smoking a cigarette
297578,A man holding matches and a cigarette in his mouth.,a woman holding matches and a cigarette in her mouth.
297578,A man lighting a cigarette as he walks on a city street.,a woman lighting a cigarette as he walks on a city street.
477805,A man with glasses sitting in front of a laptop computer.,a woman with glasses sitting in front of a laptop computer.
477805,A man types quickly on a laptop at night.,a woman types quickly on a laptop at night.
477805,Man using his laptop computer in a dark room ,woman using her laptop computer in a dark room 
477805,A man typing on a laptop computer in the dark.,a woman typing on a laptop computer in the dark.
477805,A man types swiftly on his laptop in the darkness.,a woman types swiftly on her laptop in the darkness.
322163,A man making a pizza in a kitchen. ,a woman making a pizza in a kitchen. 
2685,A crowd of people stand near a man behind a bar with wine bottles on it.,a crowd of people stand near a woman behind a bar with wine bottles on it.
412286,A man swinging a tennis racquet towards a tennis ball.,a woman swinging a tennis racquet towards a tennis ball.
412286,A man holding a tennis racquet hits the ball.,a woman holding a tennis racquet hits the ball.
412286,A man running to hit a tennis ball with his racquet. ,a woman running to hit a tennis ball with her racquet. 
412286,A man running towards a ball with a tennis racket in his hand. ,a woman running towards a ball with a tennis racket in her hand. 
412286,a man reaching up with his tennis racket to hit the ball ,a woman reaching up with her tennis racket to hit the ball 
395903,A man carries his surfboard near incoming waves.,a woman carries woman surfboard near incoming waves.
395903,a man that is holding a surfboard in hand,a woman that is holding a surfboard in hand
289417,A boy standing on skis in the snow.,a woman standing on skis in the snow.
289417,A small boy skiing down a snowy hill,a small woman skiing down a snowy hill
289417,A boy on skis standing in the snow.,a woman on skis standing in the snow.
199310,A man holding a tennis racquet in the yard ,a woman holding a tennis racquet in the yard 
199310,a man standing in the grass holding a tennis rackett,a woman standing in the grass holding a tennis rackett
199310,A man in a defensive stance holding a racquet.,a woman in a defensive stance holding a racquet.
199310,A long-haired man standing outside holding a racquet with both hands.,a long-haired woman standing outside holding a racquet with both hands.
330396,A man and a woman holding stuffed teddy bears near the ocean.,a man and a woman holding stuffed teddy bears near the ocean.
330396,A man and a woman watching waves at beach.,a man and a woman watching waves at beach.
330396,A man and woman stand on the beach and look at the ocean.,a man and woman stand on the beach and look at the ocean.
330396,A man and a woman standing on a stony beach with driftwood,a man and a woman standing on a stony beach with driftwood
215723,Two men smiling and wearing yellow jackets behind construction markers.,two women smiling and wearing yellow jackets behind construction markers.
215723,Two men in neon yellow safety jackets sharing a meal next to a food car.,two women in neon yellow safety jackets sharing a meal next to a food car.
215723,Two men wearing bright yellow construction jackets eating and standing under an orange umbrella,two women wearing bright yellow construction jackets eating and standing under an orange umbrella
215723,Two men in yellow jackets sitting at a table eating,two women in yellow jackets sitting at a table eating
117425,A toddler celebrates his birthday with a cupcake.,a toddler celebrates woman birthday with a cupcake.
117425,A young boy with a spoon looking at a birthday cupcake.,a young woman with a spoon looking at a birthday cupcake.
527029,A man covering his eyes next to cases of bananas,a woman covering her eyes next to cases of bananas
527029,a person covering his face next to many boxes of bananas,a person covering her face next to many boxes of bananas
527029,A man standing beside a display of bananas in boxes.,a woman standing beside a display of bananas in boxes.
527029,A man standing with his hands over his eyes by a fruit stand.,a woman standing with her hands over her eyes by a fruit stand.
527029,A man covering his eyes while standing next to multiple boxes filled with bananas.,a woman covering her eyes while standing next to multiple boxes filled with bananas.
338624,a man is walking his dog through the city,a woman is walking her dog through the city
338624,A man walks his dog down the sidewalk.,a woman walks woman dog down the sidewalk.
338624,A man is walking a dog on a sidewalk.,a woman is walking a dog on a sidewalk.
338624,A man walking his dog down a sidewalk.,a woman walking woman dog down a sidewalk.
338624,A man walks a dog past rows of chairs outside a store.,a woman walks a dog past rows of chairs outside a store.
101068,The man is hitting the water balloon with a bat.,the woman is hitting the water balloon with a bat.
101068,a man is swinging a baseball bat outside,a woman is swinging a baseball bat outside
223955,A man holding a red frisbee while standing on lush green field.,a woman holding a red frisbee while standing on lush green field.
223955,A guy playing in a big grassy field with a disc.,a woman playing in a big grassy field with a disc.
223955,A man with long hair is throwing a Frisbee.,a woman with long hair is throwing a frisbee.
223959,A man holding a tennis racquet on a tennis court.,a woman holding a tennis racquet on a tennis court.
223959,A man in white shirt and black shorts playing tennis.,a woman in white shirt and black shorts playing tennis.
223959,a male tennis player in a white shirt is holding his racket,a woman tennis player in a white shirt is holding her racket
223959,A man on a tennis court holding a racket. ,a woman on a tennis court holding a racket. 
486112,A man is spraying an elephant with a water hose.,a woman is spraying an elephant with a water hose.
486112,a man sprays an elephant with a water hose ,a woman sprays an elephant with a water hose 
486112,A man sprays an elephant with a water hose.,a woman sprays an elephant with a water hose.
486112,A man who is hosing down an elephant.,a woman who is hosing down an elephant.
297698,A man is skiing in mid jump onto a ramp.,a woman is skiing in mid jump onto a ramp.
297698,a man on skis fly through the sky ,a woman on skis fly through the sky 
297698,A man flying through he air while riding ,a woman flying through he air while riding 
51938,A man skiing on top of a pipe.,a woman skiing on top of a pipe.
51938,A man on ice skates sliding across a ramp in the snow.,a woman on ice skates sliding across a ramp in the snow.
199395,a man is flying a kite at on the shore at the beach,a woman is flying a kite at on the shore at the beach
199395,A man flying a colorful kite over a sandy beach.,a woman flying a colorful kite over a sandy beach.
559842,boys wearing red shirts running around after a soccer ball,woman wearing red shirts running around after a soccer ball
76547,the man is working on his laptop while he waits for the train.,the woman is working on her laptop while he waits for the train.
76547,A man in a button up shirt sitting by himself. ,a woman in a button up shirt sitting by himself. 
76547,a male in a white shirt a bicycle and an orange and white train,a woman in a white shirt a bicycle and an orange and white train
76547,A man operates a laptop at a table in a train station.,a woman operates a laptop at a table in a train station.
76547,there is a man sitting at a table using a lap top,there is a woman sitting at a table using a lap top
477955,a para sailor launching his sail at the beach.,a para sailor launching her sail at the beach.
477955,"A man is standing on the beach with a surfboard, flying a kite.","a woman is standing on the beach with a surfboard, flying a kite."
51976,A man on a surfboard riding a wave in the ocean.,a woman on a surfboard riding a wave in the ocean.
51976,A man riding a wave on top of a surfboard.,a woman riding a wave on top of a surfboard.
264968,A man with blue jersey holding a baseball bat.,a woman with blue jersey holding a baseball bat.
264968,a baseball player standing in the grass with a bat in his hand ,a baseball player standing in the grass with a bat in her hand 
199442,A man riding a wave on top of a surfboard.,a woman riding a wave on top of a surfboard.
199442,A man wearing a black wetsuit surfing in the ocean. ,a woman wearing a black wetsuit surfing in the ocean. 
199442,The young man is surfing in the water,the young woman is surfing in the water
199442,A man surfs at the top of the wave.,a woman surfs at the top of the wave.
117525,A man in front of a Christmas tree with his dog.,a woman in front of a christmas tree with her dog.
117525,A man in a red Santa hat and a dog pose in front of a Christmas tree.,a woman in a red santa hat and a dog pose in front of a christmas tree.
117525,A man wearing a Santa hat holding a dog posing for a picture.,a woman wearing a santa hat holding a dog posing for a picture.
117525,A bearded man in a Santa hat holding a small dog.,a bearded woman in a santa hat holding a small dog.
117525,A man holding his dog stands in front of the tree. ,a woman holding her dog stands in front of the tree. 
404249, A young boy balancing himself on his skateboard., a young woman balancing himself on woman skateboard.
404249,A young boy riding a skate board downhill.,a young woman riding a skate board downhill.
404249,A small boy rides a skateboard down the walkway.,a small woman rides a skateboard down the walkway.
68387,A professional baseball holding his bat at home base.,a professional baseball holding her bat at home base.
43816,A batter getting ready to hit his pitch.,a batter getting ready to hit woman pitch.
43816,a man swings a baseball bat at a ball,a woman swings a baseball bat at a ball
273198,A man opening a fire hydrant spewing out rusty water into a street.,a woman opening a fire hydrant spewing out rusty water into a street.
273198,A man opens a fire hydrant and brown colored water is flowing out.,a woman opens a fire hydrant and brown colored water is flowing out.
273198,A man opening a fire hydrant on a city side walk.,a woman opening a fire hydrant on a city side walk.
289594,A man in a hat leaning against a pole,a woman in a hat leaning against a pole
289594,An old man walking down a sidewalk in black and white.,an old woman walking down a sidewalk in black and white.
289594,A black and white photos of a man leaning on a street sign in a neighborhood. ,a black and white photos of a woman leaning on a street sign in a neighborhood. 
289594,A man is standing on a sidewalk leaning on a pole.,a woman is standing on a sidewalk leaning on a pole.
289594,An old man that is leaning against a pole right by the corner.,an old woman that is leaning against a pole right by the corner.
281409,A man swinging a baseball bat as another looks on.,a woman swinging a baseball bat as another looks on.
281409,A baseball player swings his bat while the umpire and referee wait behind him.,a baseball player swings her bat while the umpire and referee wait behind him.
469828,A man riding skis down a snow covered slope.,a woman riding skis down a snow covered slope.
273232,A man walking up the beach after finishing parasailing.,a woman walking up the beach after finishing parasailing.
273232,A man and his dog are coming out of the water,a woman and her dog are coming out of the water
273232,a man that is in some water with a kite,a woman that is in some water with a kite
133969,A group of men on a field playing baseball.,a group of woman on a field playing baseball.
158548,A sheep is on a field of grass with two men walking around it.,a sheep is on a field of grass with two women walking around it.
183127,a man is riding a surfboard at the beach,a woman is riding a surfboard at the beach
183127,A man on a surfboard surfing a large wave.,a woman on a surfboard surfing a large wave.
371552,a boy with a green shirt and a black pair of shorts playing soccer,a woman with a green shirt and a black pair of shorts playing soccer
371552,A boy standing by a soccer ball on a field.,a woman standing by a soccer ball on a field.
371552,Parents watching young boys playing soccer on a green field,parents watching young woman playing soccer on a green field
371552,a boy is standing next to a red ball outside,a woman is standing next to a red ball outside
371552,a young boy on a soccer field standing in front of a ball.,a young woman on a soccer field standing in front of a ball.
256868,A skateboarder with his board on the edge of a concrete divider while another boy chases the skateboarder with a camera. ,a skateboarder with her board on the edge of a concrete divider while another woman chases the skateboarder with a camera. 
256868,a man films a skate boarder doing a trick ,a woman films a skate boarder doing a trick 
256868,A man riding a skateboard down a cement ramp.,a woman riding a skateboard down a cement ramp.
256868,A man filming a person skateboarding on a wall.,a woman filming a person skateboarding on a wall.
527215,A man flying a kite on a beach with people standing around.,a woman flying a kite on a beach with people standing around.
527215,A man flying a kite while standing on a beach.,a woman flying a kite while standing on a beach.
527215,A man waves to people in the distance on a beach.,a woman waves to people in the distance on a beach.
527215,A blue tinted photograph of a man flying a kite on the beach.,a blue tinted photograph of a woman flying a kite on the beach.
551794,A man riding a motorcycle on the side of a road.,a woman riding a motorcycle on the side of a road.
551794,A man sitting on his motorcycle on dirt just of a paved road.,a woman sitting on her motorcycle on dirt just of a paved road.
551794,A man on a motorcycle resting on the side of a country road,a woman on a motorcycle resting on the side of a country road
551794,A man parked his motorcycle on the side of the road.,a woman parked her motorcycle on the side of the road.
199551,A picture of a young boy laying on top of a bed.,a picture of a young woman laying on top of a bed.
199551,A young boy sleeping on the side of his bed.,a young woman sleeping on the side of her bed.
199551,A young boy sleeping on floral printed sheets,a young woman sleeping on floral printed sheets
199551,A boy asleep on a large bed under a mosquito net,a woman asleep on a large bed under a mosquito net
551820,The man is intently involved in the badminton match.,the woman is intently involved in the badminton match.
11149,A man standing next to a bikes and a motorcycle.,a woman standing next to a bikes and a motorcycle.
11149,A man sitting on a motorcycle near several bicycles with a partially visible person standing nearby.,a woman sitting on a motorcycle near several bicycles with a partially visible person standing nearby.
117645,A man riding a snowboard down a snow covered slope.,a woman riding a snowboard down a snow covered slope.
117645,A man on skis is going down a slope.,a woman on skis is going down a slope.
568213,A couple of men standing on top of a field together.,a couple of women standing on top of a field together.
568213,Two men playing frisbee together on a field,two woman playing frisbee together on a field
568213,a young man attempting to throw a Frisbee past a defender ,a young woman attempting to throw a frisbee past a defender 
568213,a man is throwing a frisbee in a field,a woman is throwing a frisbee in a field
314264,a man making a flower display in a vase on a wall,a woman making a flower display in a vase on a wall
314264,A man placing some flowers inside a vase.,a woman placing some flowers inside a vase.
314264,A man putting flowers into a white vase on a grave.,a woman putting flowers into a white vase on a grave.
314264,A man refreshing fake flowers in vases on a crypt wall,a woman refreshing fake flowers in vases on a crypt wall
396200,Two men who are riding on skateboards. ,two woman who are riding on skateboards. 
396200,One young man films another on a skateboard,one young woman films another on a skateboard
248752,There is a man holding a baseball bat in his hands.,there is a woman holding a baseball bat in her hands.
248752,a man is holding a baseball bat at a game,a woman is holding a baseball bat at a game
461751,The man is riding his motorcycle while smoking a cigarette. ,the woman is riding her motorcycle while smoking a cigarette. 
461751,A man sitting on a motorcycle smoking a cigarette.,a woman sitting on a motorcycle smoking a cigarette.
461751,A man on a motorcycle driving beside a van.,a woman on a motorcycle driving beside a van.
461751,A man is riding a motorcycle on a city street. ,a woman is riding a motorcycle on a city street. 
461751,The man on the motorcycle pulled up beside the car.,the woman on the motorcycle pulled up beside the car.
60347,A man sitting on the park bench in the forest ,a woman sitting on the park bench in the forest 
60347,A man sitting on a bench in a forest area. ,a woman sitting on a bench in a forest area. 
60347,A man sitting on a bench in a wood.,a woman sitting on a bench in a wood.
60347,A man sits on a bench underneath trees.,a woman sits on a bench underneath trees.
60347,A man sitting on a bench surrounded by trees. ,a woman sitting on a bench surrounded by trees. 
11197,A man prepares to cross the street at a crosswalk,a woman prepares to cross the street at a crosswalk
11197,Two signs with arrows and a man standing on the sidewalk.,two signs with arrows and a woman standing on the sidewalk.
502737,A man holding up what appears to be a chocolate desert.,a woman holding up what appears to be a chocolate desert.
117719,A man changes a light bulb in a darkened bar.,a woman changes a light bulb in a darkened bar.
117719,A man sits at a bar in front of dozens of bottles of alcohol.,a woman sits at a bar in front of dozens of bottles of alcohol.
117719,A man sitting at a bar that contains a lot of bottles.,a woman sitting at a bar that contains a lot of bottles.
117719,A man sits at a bar in front of shelves full of bottles.,a woman sits at a bar in front of shelves full of bottles.
388056,Several male baseball players playing a game while fans watch,several woman baseball players playing a game while fans watch
224222,three men out on the ocean water two of the men watching their friend surf waves blue oceans water a man wearing a green shirt and yellow shorts,three women out on the ocean water two of the women watching their friend surf waves blue oceans water a woman wearing a green shirt and yellow shorts
19432,a man playing tennis going for a low ball,a woman playing tennis going for a low ball
19432,He's almost got this tennis ball at the end of his racket.,he's almost got ther tennis ball at the end of her racket.
19432,A man with a racquet standing on a tennis court.,a woman with a racquet standing on a tennis court.
19432,A man playing tennis on a blue tennis court,a woman playing tennis on a blue tennis court
125936,A man is at the counter by a bowl of fruit.,a woman is at the counter by a bowl of fruit.
142324,A man rides with a child on a motorcycle down a busy street with other pedestrians and bicyclists,a woman rides with a child on a motorcycle down a busy street with other pedestrians and bicyclists
142324,A man riding on a motor scooter with a child in his lap.,a woman riding on a motor scooter with a child in her lap.
437239,Three men and a woman in the park with frisbees. ,three men and a woman in the park with frisbees. 
273420,a man on his phone in some kind of room,a woman on her phone in some kind of room
273420,A man on a cell phone standing next to a bed.,a woman on a cell phone standing next to a bed.
273420,A man on a cell phone with some tools on a bed nearby.,a woman on a cell phone with some tools on a bed nearby.
273420,A man in his apartment bedroom answering his cell phone.,a woman in her apartment bedroom answering her cell phone.
273420,A room with a man in it talking on his phone.,a room with a woman in it talking on her phone.
68628,Guy jumps off the steps doing a flip trick with his skateboard,woman jumps off the steps doing a flip trick with her skateboard
68628,A shirtless man is in mid air above some stairs on his skateboard.,a shirtless woman is in mid air above some stairs on her skateboard.
68628,a man on a skateboard jumping over a stairway,a woman on a skateboard jumping over a stairway
68628,the man jumps over the steps while on his skateboard,the woman jumps over the steps while on her skateboard
158744,a man is holding some stuff standing by the curb,a woman is holding some stuff standing by the curb
158744,There is a man standing next to the street.,there is a woman standing next to the street.
158744,"A pair of chairs on a curb, and a man carrying a chair on the sidewalk.","a pair of chairs on a curb, and a woman carrying a chair on the sidewalk."
519208,a man standing next to an elephant next to his trunk,a woman standing next to an elephant next to her trunk
519208,A smiling man in green next to a large elephant.,a smiling woman in green next to a large elephant.
519208,A smiling man standing very close to a cute elephant.,a smiling woman standing very close to a cute elephant.
519208,A man in a green shirt is standing next to an elephant. ,a woman in a green shirt is standing next to an elephant. 
